Reported outcome;Response time;Exclusion;TP;The ratio between the dice roll and the possible reward is...;What is the chance that you will get the reward?;My dice role was fully anonymous-only I could know what I rolled.;Several students will receive a monetary reward for the dice under cup game.;Gender;Age;Native language dutch;Native language other;Nationality dutch;Nationality other;Education
1;8,545;1;1;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Do not believe;2;21;1;;1;;2
3;4,195;0;1;The reward (in euro) is two times the outcome of the dice roll.;20;Strongly believe;Believe;1;18;1;;1;;2
6;10,027;0;0;The reward (in euro) is two times the outcome of the dice roll.;64;Strongly believe;Believe;1;19;1;;1;;2
3;5,387;0;1;The reward (in euro) is two times the outcome of the dice roll.;13;Believe;Do not believe;1;18;1;;1;;3
3;6,586;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Do not believe;1;20;1;;1;1;2
6;5,81;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Neutral;Do not believe;1;20;1;1;1;;2
5;7,003;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Do not believe;2;19;1;;1;;2
4;10,41;1;1;The reward (in euro) is two times the outcome of the dice roll.;15;Believe;Believe;1;18;1;;1;;2
6;5,495;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Believe;1;19;1;;1;;2
2;11,208;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Believe;Neutral;1;20;1;;1;;2
2;8,318;0;0;The reward (in euro) is four times the outcome of the dice roll.;15;Believe;Do not believe;1;18;1;;1;;2
3;5,444;0;1;The reward (in euro) is two times the outcome of the dice roll.;9;Strongly believe;Believe;2;19;1;;1;1;9
4;4,027;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Neutral;2;21;1;;1;;3
2;6,254;0;0;The reward (in euro) is two times the outcome of the dice roll.;3;Strongly believe;Do not believe;1;20;1;;1;;2
1;7,537;0;0;The reward (in euro) is half of the outcome of the dice roll.;10;Believe;Neutral;1;18;1;;1;;2
4;27,998;1;1;The reward (in euro) is two times the outcome of the dice roll.;28;Believe;Neutral;2;18;1;;1;;2
5;6,221;0;1;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Believe;2;21;1;;1;;2
3;5,785;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Believe;Neutral;1;19;1;;1;;5
6;7,685;0;0;The reward (in euro) is two times the outcome of the dice roll.;30;Believe;Neutral;1;19;1;;1;;2
6;4,929;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Neutral;1;17;1;;1;;2
4;5,517;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Believe;1;25;1;;1;;5
5;3,65;0;1;The reward (in euro) is two times the outcome of the dice roll.;6;Believe;Neutral;1;18;1;;1;;2
6;2,191;0;1;The reward (in euro) is two times the outcome of the dice roll.;23;Believe;Strongly do not believe;2;18;;1;;1;4
2;5,646;0;1;The reward (in euro) is two times the outcome of the dice roll.;69;Strongly believe;Believe;2;24;;1;;1;2
2;4,081;0;1;The reward (in euro) is two times the outcome of the dice roll.;16;Strongly believe;Do not believe;2;18;;1;;1;2
6;12,052;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;1;20;;1;;1;2
2;9,185;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Neutral;1;21;;1;;1;3
4;8,339;1;1;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Neutral;1;22;;1;;1;2
6;9,254;1;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Neutral;1;20;;1;;1;2
4;10,104;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Strongly do not believe;1;21;;1;;1;2
2;5,612;0;0;The reward (in euro) is two times the outcome of the dice roll.;2;Neutral;Believe;1;20;1;1;1;1;2
1;4,906;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Strongly do not believe;2;24;;1;;1;5
4;7,697;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Strongly believe;2;20;;1;;1;2
6;4,043;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Do not believe;2;20;;1;;1;2
6;4,598;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Believe;1;19;;1;;1;2
6;7,589;0;1;The reward (in euro) is two times the outcome of the dice roll.;8;Strongly believe;Strongly do not believe;1;20;;1;;1;2
5;3,519;0;1;The reward (in euro) is two times the outcome of the dice roll.;15;Believe;Do not believe;1;18;;1;;1;3
4;2,206;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Do not believe;Neutral;1;21;;1;;1;2
4;5,661;0;1;The reward (in euro) is equal to the outcome of the dice roll.;40;Strongly believe;Believe;1;17;1;1;1;1;2
4;6,387;0;1;The reward (in euro) is two times the outcome of the dice roll.;17;Strongly believe;Do not believe;1;19;;1;;1;2
6;7,893;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Do not believe;2;24;;1;;1;5
3;6,349;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Believe;Believe;2;20;;1;;1;2
3;5,83;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Believe;1;24;;1;;1;2
6;12,353;0;0;The reward (in euro) is two times the outcome of the dice roll.;8;Do not believe;Believe;1;19;;1;;1;2
3;10,399;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Believe;Believe;1;20;;1;;1;2
5;4,619;0;1;The reward (in euro) is two times the outcome of the dice roll.;16;Strongly believe;Believe;2;20;;1;;1;2
6;13,187;0;0;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Strongly believe;2;19;;1;;1;2
4;5,142;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Believe;Neutral;2;22;;1;;1;2
3;20,456;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Neutral;Do not believe;1;20;;1;;1;3
1;19,386;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Believe;2;18;;1;;1;2
6;8,608;1;1;The reward (in euro) is two times the outcome of the dice roll.;10;Believe;Strongly do not believe;1;19;;1;;1;2
5;1,772;0;1;The reward (in euro) is two times the outcome of the dice roll.;60;Strongly believe;Strongly do not believe;1;19;;1;;1;9
5;11,002;0;0;The reward (in euro) is two times the outcome of the dice roll.;2;Believe;Do not believe;1;18;;1;1;;2
4;5,862;0;0;The reward (in euro) is two times the outcome of the dice roll.;16;Strongly believe;Neutral;2;19;;1;;1;2
6;4,912;0;1;The reward (in euro) is two times the outcome of the dice roll.;17;Do not believe;Neutral;2;18;;1;;1;2
5;4,115;0;1;The reward (in euro) is two times the outcome of the dice roll.;30;Do not believe;Believe;1;19;;1;;1;2
1;5,427;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Believe;Do not believe;1;18;;1;;1;2
3;9,648;1;1;The reward (in euro) is two times the outcome of the dice roll.;20;Believe;Strongly believe;1;20;;1;;1;2
2;7,605;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Neutral;1;20;;1;;1;2
4;19,94;1;1;The reward (in euro) is equal to the outcome of the dice roll.;20;Strongly do not believe;Do not believe;1;20;1;;1;;2
4;24,1;1;1;The reward (in euro) is two times the outcome of the dice roll.;0;Do not believe;Strongly do not believe;2;21;;1;;1;2
4;6,521;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Believe;Strongly do not believe;1;20;;1;;1;3
4;4,071;0;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Strongly believe;1;21;;1;;1;2
2;6,148;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Believe;Believe;1;19;;1;;1;2
4;8,169;0;0;The reward (in euro) is two times the outcome of the dice roll.;3;Believe;Do not believe;2;18;;1;;1;2
5;12,371;0;0;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Believe;2;21;;1;;1;2
2;5,271;0;1;The reward (in euro) is two times the outcome of the dice roll.;16;Strongly believe;Believe;1;22;;1;;1;2
5;5,53;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Believe;Do not believe;1;19;;1;;1;2
4;1,687;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly do not believe;Believe;2;46;;1;;1;3
4;13,773;0;0;The reward (in euro) is two times the outcome of the dice roll.;7;Strongly believe;Strongly do not believe;2;22;;1;;1;2
3;7,106;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Do not believe;2;19;;1;;1;2
1;7,202;0;0;The reward (in euro) is two times the outcome of the dice roll.;30;Believe;Believe;1;23;;1;;1;7
1;9,157;0;0;The reward (in euro) is two times the outcome of the dice roll.;40;Believe;Neutral;1;18;;1;;1;2
6;2,439;0;0;The reward (in euro) is two times the outcome of the dice roll.;9;Strongly believe;Strongly believe;2;22;;1;;1;3
5;23,811;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Believe;Strongly do not believe;1;20;;1;;1;2
4;8,498;1;1;The reward (in euro) is two times the outcome of the dice roll.;35;Strongly believe;Strongly believe;1;19;;1;;1;2
2;4,339;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Strongly do not believe;2;24;;1;;1;2
5;2,824;0;1;The reward (in euro) is four times the outcome of the dice roll.;5;Strongly believe;Do not believe;1;18;;1;;1;2
2;8,708;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly do not believe;Do not believe;1;19;;1;;1;2
2;8,381;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Do not believe;1;22;;1;;1;2
6;7,195;0;1;The reward (in euro) is two times the outcome of the dice roll.;70;Neutral;Do not believe;1;19;;1;;1;2
4;6,662;0;0;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Believe;1;25;;1;;1;3
2;8,814;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;2;20;;1;;1;2
4;6,565;0;1;The reward (in euro) is two times the outcome of the dice roll.;51;Believe;Believe;1;19;;1;;1;2
2;9,08;0;0;The reward (in euro) is equal to the outcome of the dice roll.;100;Strongly believe;Do not believe;2;18;;1;;1;2
6;6,314;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Believe;1;19;;1;;1;3
4;4,875;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Believe;Believe;1;18;;1;;1;2
3;8,539;1;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly do not believe;Believe;2;21;;1;;1;2
6;4,445;0;1;The reward (in euro) is two times the outcome of the dice roll.;21;Believe;Strongly believe;1;21;;1;;1;9
1;7,066;0;1;The reward (in euro) is two times the outcome of the dice roll.;3;Believe;Strongly believe;1;20;;1;;1;2
3;3,081;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Believe;2;19;;1;;1;2
2;26,315;0;0;The reward (in euro) is two times the outcome of the dice roll.;50;Neutral;Neutral;1;19;;1;;1;3
3;4,95;0;0;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Do not believe;1;20;;1;;1;3
5;5,09;0;1;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Believe;1;20;;1;;1;5
4;8,423;0;0;The reward (in euro) is two times the outcome of the dice roll.;6;Strongly believe;Neutral;1;22;;1;;1;2
4;8,948;1;1;The reward (in euro) is equal to the outcome of the dice roll.;15;Strongly believe;Neutral;2;31;;1;;1;3
1;10,679;1;1;The reward (in euro) is two times the outcome of the dice roll.;10;Believe;Believe;2;19;;1;;1;2
4;3,827;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Neutral;2;21;;1;;1;2
2;6,979;0;0;The reward (in euro) is equal to the outcome of the dice roll.;100;Believe;Strongly believe;1;21;;1;;1;2
3;6,489;0;0;The reward (in euro) is two times the outcome of the dice roll.;20;Believe;Believe;1;18;;1;;1;2
6;7,039;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Neutral;Believe;1;17;;1;;1;2
