Gender;Time_pressure;Experiment;Dice_report;Report_time;Within_time;Cheerful;active;active2;happy;loving;worried;tired;tired2;angry;calm;gloomy;bored;sad;tense;angry2;satisfied;pos_mood;neg_mood;filter_$
2.00;1.00;1.00;5.00;5.57;1.00;3.00;2.00;2.00;4.00;3.00;1.00;4.00;4.00;1.00;3.00;1.00;1.00;1.00;1.00;1.00;3.00;2.86;1.67;0
1.00;1.00;1.00;6.00;9.84;1.00;3.00;1.00;4.00;4.00;3.00;1.00;3.00;1.00;1.00;4.00;2.00;1.00;5.00;3.00;1.00;3.00;3.14;2.00;0
1.00;1.00;1.00;6.00;9.39;1.00;3.00;3.00;4.00;4.00;3.00;1.00;1.00;2.00;1.00;4.00;1.00;1.00;1.00;1.00;1.00;4.00;3.57;1.11;0
1.00;1.00;1.00;1.00;11.49;1.00;4.00;3.00;3.00;4.00;4.00;2.00;2.00;2.00;1.00;4.00;1.00;2.00;1.00;1.00;1.00;4.00;3.71;1.44;0
1.00;1.00;1.00;1.00;10.15;1.00;4.00;5.00;5.00;3.00;3.00;1.00;1.00;1.00;1.00;2.00;1.00;1.00;1.00;2.00;1.00;4.00;3.71;1.11;0
2.00;1.00;1.00;3.00;6.86;1.00;4.00;4.00;3.00;3.00;3.00;1.00;1.00;1.00;1.00;3.00;1.00;1.00;1.00;1.00;1.00;4.00;3.43;1.00;0
1.00;1.00;1.00;4.00;10.25;1.00;4.00;4.00;4.00;3.00;3.00;4.00;1.00;1.00;1.00;2.00;1.00;3.00;1.00;4.00;3.00;3.00;3.29;2.11;0
1.00;1.00;1.00;4.00;16.00;1.00;4.00;4.00;4.00;3.00;4.00;1.00;1.00;1.00;1.00;4.00;1.00;1.00;1.00;1.00;1.00;3.00;3.71;1.00;0
1.00;1.00;1.00;5.00;8.18;1.00;4.00;3.00;2.00;4.00;3.00;2.00;2.00;2.00;1.00;4.00;1.00;2.00;1.00;1.00;1.00;4.00;3.43;1.44;0
1.00;1.00;1.00;5.00;2.11;1.00;4.00;3.00;3.00;4.00;3.00;1.00;3.00;3.00;1.00;5.00;1.00;2.00;1.00;1.00;1.00;4.00;3.71;1.56;0
1.00;1.00;1.00;5.00;13.52;1.00;4.00;4.00;4.00;5.00;5.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;5.00;4.00;1.00;0
2.00;1.00;1.00;5.00;14.76;1.00;4.00;1.00;4.00;4.00;4.00;1.00;1.00;2.00;1.00;4.00;1.00;1.00;1.00;1.00;1.00;4.00;3.57;1.11;0
1.00;1.00;1.00;6.00;7.44;1.00;4.00;4.00;4.00;4.00;5.00;3.00;2.00;3.00;2.00;4.00;2.00;3.00;2.00;2.00;2.00;4.00;4.14;2.33;0
1.00;1.00;1.00;6.00;11.97;1.00;4.00;3.00;3.00;4.00;5.00;2.00;1.00;1.00;1.00;4.00;1.00;2.00;1.00;2.00;1.00;3.00;3.71;1.33;0
2.00;1.00;1.00;6.00;5.36;1.00;4.00;2.00;2.00;4.00;5.00;1.00;3.00;3.00;1.00;4.00;1.00;1.00;1.00;1.00;1.00;4.00;3.57;1.44;0
1.00;1.00;1.00;6.00;11.26;1.00;4.00;3.00;3.00;3.00;3.00;1.00;1.00;2.00;1.00;5.00;1.00;3.00;1.00;1.00;1.00;4.00;3.57;1.33;0
